Year,Outcome,Count
1995,Extreme Preterm,27478
1995,Late Preterm,151972
1995,Moderate Preterm,199383
1995,Severe Preterm,45622
1996,Extreme Preterm,27456
1996,Late Preterm,151458
1996,Moderate Preterm,198918
1996,Severe Preterm,45275
1997,Extreme Preterm,28005
1997,Late Preterm,157965
1997,Moderate Preterm,204232
1997,Severe Preterm,46398
1998,Extreme Preterm,29037
1998,Late Preterm,163542
1998,Moderate Preterm,212210
1998,Severe Preterm,47486
1999,Extreme Preterm,28959
1999,Late Preterm,168427
1999,Moderate Preterm,215529
1999,Severe Preterm,47938
2000,Extreme Preterm,28895
2000,Late Preterm,170754
2000,Moderate Preterm,218928
2000,Severe Preterm,48624
2001,Extreme Preterm,29085
2001,Late Preterm,175977
2001,Moderate Preterm,222640
2001,Severe Preterm,48548
2002,Extreme Preterm,29425
2002,Late Preterm,178603
2002,Moderate Preterm,224364
2002,Severe Preterm,48420
2003,Extreme Preterm,30061
2003,Late Preterm,185328
2003,Moderate Preterm,234074
2003,Severe Preterm,49545
2004,Extreme Preterm,30670
2004,Late Preterm,188180
2004,Moderate Preterm,238531
2004,Severe Preterm,50975
2005,Extreme Preterm,31588
2005,Late Preterm,195567
2005,Moderate Preterm,243938
2005,Severe Preterm,51820
2006,Extreme Preterm,32036
2006,Late Preterm,202067
2006,Moderate Preterm,254303
2006,Severe Preterm,54487
2021,Extreme Preterm,24971
2021,Late Preterm,170242
2021,Moderate Preterm,210720
2021,Severe Preterm,43830
